parSel_CROB,parnam,parCal_P,parCal_S,parCal_B
1,cR,0.219740893,0.146162214,0.150161754
2,rhow,190.0110767,218.8325709,263.3192497
3,sla,20.0192754,21.55193918,46.46751064
4,k,0.255770367,0.287759252,0.250076622
5,vf,2.513471397,7.87041142,1.193634588
6,vr,1.459918889,0.639147198,0.58684018
7,c,0.235401357,0.200894185,0.320496756
8,mf,0.49792474,0.331682529,0.399571132
9,mr,0.396147874,0.200086131,0.355629561
10,mw,0.044458441,0.039539568,0.020286766
11,z,1.865687771,1.936862481,1.949543831
12,beta0,0.250150681,0.310783832,0.475063887
13,betab,0.390962665,0.492312079,0.364294074
14,betas,0.492225619,0.333649606,0.385641967
15,rhof2,249.0354127,225.0604346,100.4308488
17,kRein,672.8181883,950.6399223,820.8130396
18,s0scale,0.403276466,0.954749137,0.43105969
21,alfar1,0.431468331,0.086311541,0.29242372
22,alfar2,0.445109911,0.254891946,0.545366158
23,alfar3,0.456065962,0.451144863,0.745035224
24,alfar4,0.667151714,0.414738407,0.609633214
25,alfar5,0.768739619,0.695548002,0.899494449
38,ksi,0.065438773,0.060714304,0.031298599
41,zb,1.156045367,1.196903424,1.191986732
