ForClimate sites,,,Calibration sites,
siteX,HarriF,plot,init_set,siteY
1,008-Vh005,1,init_set3,176
2,008-Vh005,2,init_set3,178
3,008-Vh005,3,init_set3,179
4,008-Vh005,4,init_set3,180
5,008-Vh005,5,init_set3,181
6,008-Vh005,6,init_set3,182
7,008-Vh005,7,init_set3,183
8,008-Vh005,8,init_set3,184
9,008-Vh005,9,init_set3,185
10,008-Vh005,10,init_set3,177
11,407-Vh016,1,init_set2,
12,407-Vh016,2,init_set2,
13,407-Vh016,3,init_set2,
14,407-Vh016,4,init_set2,
15,407-Vh016,5,init_set2,
16,407-Vh016,6,init_set2,
17,407-Vh016,7,init_set2,
18,407-Vh016,8,init_set2,
19,420-Nyn001,1,init_set3,136
20,420-Nyn001,2,init_set3,140
21,420-Nyn001,3,init_set3,141
22,420-Nyn001,4,init_set3,142
23,420-Nyn001,5,init_set3,143
24,420-Nyn001,6,init_set3,144
25,420-Nyn001,7,init_set3,145
26,420-Nyn001,8,init_set3,146
27,420-Nyn001,9,init_set3,147
28,420-Nyn001,10,init_set3,137
29,420-Nyn001,11,init_set3,138
30,420-Nyn001,12,init_set3,139
31,474-Pa001,1,init_set2,158
32,474-Pa001,2,init_set2,159
33,474-Pa001,3,init_set2,160
34,474-Pa001,4,init_set2,161
35,474-Pa001,5,init_set2,162
